ZIP	latitude	longitude	STATE
03581	44.3925	-71.1341	NH
03582	44.6018	-71.4499	NH
03583	44.3946	-71.4357	NH
03584	44.4903	-71.5399	NH
03585	44.2336	-71.8777	NH
03588	44.618	-71.1998	NH
03589	44.2856	-71.2976	NH
03590	44.719	-71.4656	NH
03592	45.1127	-71.2547	NH
03598	44.3474	-71.563	NH
03602	43.1163	-72.3101	NH
03603	43.2439	-72.3874	NH
03605	43.233	-72.2177	NH
03607	43.1817	-72.3286	NH
03608	43.0729	-72.4129	NH
03609	43.1475	-72.4473	NH
03740	44.18	-71.9868	NH
03741	43.6687	-71.9879	NH
03743	43.3506	-72.3258	NH
03745	43.4715	-72.3295	NH
03748	43.6266	-72.1143	NH
03750	43.7143	-72.2003	NH
03752	43.2892	-72.1146	NH
03753	43.512	-72.1468	NH
03755	43.7195	-72.1966	NH
03765	44.0367	-72.0555	NH
03766	43.6318	-72.2363	NH
03768	43.8096	-72.1173	NH
03770	43.5283	-72.2712	NH
03771	44.2849	-72.0098	NH
03773	43.3847	-72.1987	NH
03774	44.0943	-71.9938	NH
03777	43.8965	-72.0597	NH
03779	43.9748	-72.0308	NH
03780	44.0395	-71.9883	NH
03781	43.5478	-72.2798	NH
03782	43.3917	-72.0904	NH
03784	43.6444	-72.2972	NH
03785	44.0795	-71.8707	NH
03809	43.4711	-71.2395	NH
03810	43.4828	-71.2467	NH
03811	42.8381	-71.1615	NH
03812	44.0875	-71.2794	NH
03813	44.0041	-71.0398	NH
03814	43.7646	-71.1281	NH
03815	43.2603	-71.1027	NH
03816	43.7017	-71.2484	NH
03817	43.8975	-71.2285	NH
03818	43.9735	-71.2602	NH
03819	42.93	-71.122	NH
03820	43.1874	-70.9034	NH
03824	43.1189	-70.9618	NH
03825	43.2066	-71.047	NH
03826	42.8894	-71.1235	NH
03830	43.6405	-70.9951	NH
03833	42.9727	-70.9872	NH
03835	43.3616	-71.0747	NH
03836	43.8276	-71.07	NH
03837	43.4317	-71.3204	NH
03838	44.104	-71.1777	NH
03839	43.2624	-70.9828	NH
